@relation Hand-based-all-weka.filters.unsupervised.attribute.Remove-R32-97

@attribute Sigdist numeric
@attribute AVXV numeric
@attribute AYXV numeric
@attribute VEL1Y numeric
@attribute VEL1X numeric
@attribute VEL4X numeric
@attribute VEL4Y numeric
@attribute VEL5 numeric
@attribute VEL6 numeric
@attribute VELCOR numeric
@attribute Initdir numeric
@attribute XSize numeric
@attribute YSize numeric
@attribute TotalTime numeric
@attribute VeLXZero numeric
@attribute VelYZero numeric
@attribute AvPress numeric
@attribute PIXELCENX numeric
@attribute PIXELCENY numeric
@attribute PTD numeric
@attribute HDRATION numeric
@attribute SET numeric
@attribute DCHANGE numeric
@attribute DUR1 numeric
@attribute DUR2 numeric
@attribute DUR3 numeric
@attribute DUR4 numeric
@attribute TIME3 numeric
@attribute TIME4 numeric
@attribute TIME5 numeric
@attribute TIME6 numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
1168.94357,0.044961,0.003464,0,-0.014706,-5.315283,0,-0.02658,-0.023627,0.023074,0,-0.170222,9.288741,1749.90667,188.39008,25.999,78,73,0.529585,892.073655,162.746511,778358257.962927,9.288741,25999,243,-23975,-2024,-13132,-12851,8,8,58
1927.28519,0.07131,0.002037,0,0,-4.390544,-15.563689,0.005129,0.123108,0,0,-0.376367,12.433368,2024.843345,162.855575,27.027,91,74,0.519543,985.066378,163.882529,895522926.054573,12.433368,27027,254,-25825,-1202,-13447,-13564,8,8,58
1748.83468,0.081156,-0.0009,-0.083105,0,-1.346101,18.549777,-0.02499,0.209914,0.101879,-0.000859,-0.047182,16.235323,1924.069025,118.51129,21.549,61,47,0.424372,1001.400992,154.673627,615744887.091633,16.235323,21549,145,-20894,-655,-10598,-10918,17,17,59
1584.32108,0.082931,0.001362,0.164948,-0.09511,-1.046555,0,-0.014767,-0.038393,0.078651,0.001225,-0.024973,12.666051,1733.143554,136.83377,19.104,53,42,0.507116,997.990508,149.752817,495340081.583271,12.666051,19104,141,-19004,-100,-9503,-9584,16,16,59
1736.65213,0.096685,-0.000396,0,0,-0.539773,1,0.47512,0.304564,0,0,0.029747,13.879556,1974.9434,142.291538,17.962,37,37,0.497691,1077.778996,129.350555,502098126.422635,13.879556,17962,131,-17962,0,-9807,-8138,8,8,59
1279.366496,0.094481,0.004901,-0.087736,0.035806,-1.718212,-48.867325,-0.162434,0.123451,0.021087,0.002729,-0.081074,7.932079,1296.422227,163.4404,13.541,37,34,0.463481,754.560404,822.471433,180499276.875186,7.932079,13541,128,-5846,-7695,-6212,-7312,0,0,60
1129.17954,0.084532,0.002568,-0.520652,0.199325,-0.856867,-147.863864,-0.072471,-0.0075,0.04984,0.001551,-0.294782,7.073417,1146.4301,162.07586,13.358,30,22,0.56077,718.237763,912.133951,146757807.941114,7.073417,13358,119,-4822,-8536,-6072,-7270,17,0,60
1220.40284,0.094576,0.00284,0,0,0.565191,-147.673095,0.081217,0.454808,0,0,-0.176629,7.299127,1224.98354,167.82604,12.904,44,31,0.56498,711.652518,864.928538,178472717.864602,7.299127,12904,146,-4934,-7970,-6467,-6421,7,0,60
1834.6976,0.117151,0.003031,0.012874,-0.174243,-1.709298,-134.10138,-0.200335,-0.211163,0.072883,0.001771,-0.096123,8.640719,1856.04149,214.80173,15.661,43,25,0.450073,1055.520355,318.260226,324443116.851414,8.640719,15661,126,-13843,-1818,-7196,-8448,7,7,61
1502.71036,0.080596,0.012908,-0.041511,0.360457,-14.179039,0.881043,-1.200676,7.043478,0.07041,0.001833,-0.135643,6.850065,2120.64732,309.580625,18.645,60,39,0.517255,1241.497246,328.055844,368409593.306359,6.850065,18645,155,-17160,-1485,-7933,-10695,17,17,61
